Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
69,"B Yu, H Yin, Z Zhu",Spatio-temporal graph convolutional networks: A deep learning framework for traffic forecasting,5052,2017, arxiv.org, arXiv preprint arXiv:1709.04875,https://arxiv.org/abs/1709.04875,561
68,"Y Li, R Yu, C Shahabi, Y Liu",Diffusion convolutional recurrent neural network: Data-driven traffic forecasting,4619,2017, arxiv.org, arXiv preprint arXiv:1707.01926,https://arxiv.org/abs/1707.01926,513
22,"L Zhao, Y Song, C Zhang, Y Liu, P Wang…",T-GCN: A temporal graph convolutional network for traffic prediction,2933,2019, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/8809901/,419
80,"S Guo, Y Lin, N Feng, C Song, H Wan",Attention based spatial-temporal graph convolutional networks for traffic flow forecasting,2911,2019, ojs.aaai.org, Proceedings of the AAAI …,http://ojs.aaai.org/index.php/AAAI/article/view/3881,416
46,"Z Wu, S Pan, G Long, J Jiang, X Chang…",Connecting the dots: Multivariate time series forecasting with graph neural networks,1875,2020, dl.acm.org, Proceedings of the 26th …,https://dl.acm.org/doi/abs/10.1145/3394486.3403118,312
1,"W Jiang, J Luo",Graph neural network for traffic forecasting: A survey,1146,2022, Elsevier, Expert systems with applications,https://www.sciencedirect.com/science/article/pii/S0957417422011654,286
29,"L Bai, L Yao, C Li, X Wang…",Adaptive graph convolutional recurrent network for traffic forecasting,1558,2020, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2020/hash/ce1aad92b939420fc17005e5461e6f48-Abstract.html?ref=https://githubhelp.com,260
6,"M Li, Z Zhu",Spatial-temporal fusion graph neural networks for traffic flow forecasting,926,2021, ojs.aaai.org, Proceedings of the AAAI conference on artificial …,https://ojs.aaai.org/index.php/AAAI/article/view/16542,185
42,"F Li, J Feng, H Yan, G Jin, F Yang, F Sun…",Dynamic graph convolutional recurrent network for traffic prediction: Benchmark and solution,498,2023, dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3532611,166
21,"Z Cui, K Henrickson, R Ke…",Traffic graph convolutional recurrent neural network: A deep learning framework for network-scale traffic learning and forecasting,1075,2019, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8917706/,154
66,"D Cao, Y Wang, J Duan, C Zhang…",Spectral temporal graph neural network for multivariate time-series forecasting,684,2020, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2020/hash/cdf6581cb7aca4b7e19ef136c6e601a5-Abstract.html,114
60,"Z Fang, Q Long, G Song, K Xie",Spatial-temporal graph ode networks for traffic flow forecasting,539,2021, dl.acm.org, Proceedings of the 27th ACM SIGKDD …,https://dl.acm.org/doi/abs/10.1145/3447548.3467430,108
13,"X Wang, Y Ma, Y Wang, W Jin, X Wang, J Tang…",Traffic flow prediction via spatial temporal graph neural network,639,2020, dl.acm.org, Proceedings of the web …,https://dl.acm.org/doi/abs/10.1145/3366423.3380186,106
16,"S Lan, Y Ma, W Huang, W Wang…",Dstagnn: Dynamic spatial-temporal aware graph neural network for traffic flow forecasting,422,2022, proceedings.mlr.press, … on machine learning,https://proceedings.mlr.press/v162/lan22a,106
64,"G Jin, Y Liang, Y Fang, Z Shao, J Huang…",Spatio-temporal graph neural networks for predictive learning in urban computing: A survey,287,2023, ieeexplore.ieee.org, … on Knowledge and …,https://ieeexplore.ieee.org/abstract/document/10328393/,96
17,"J Choi, H Choi, J Hwang, N Park",Graph neural controlled differential equations for traffic forecasting,327,2022, ojs.aaai.org, … of the AAAI conference on artificial …,https://ojs.aaai.org/index.php/AAAI/article/view/20587,82
65,"A Ali, Y Zhu, M Zakarya",Exploiting dynamic spatio-temporal graph convolutional neural networks for citywide traffic flows prediction,312,2022, Elsevier, Neural networks,https://www.sciencedirect.com/science/article/pii/S0893608021004123,78
67,"DA Tedjopurnomo, Z Bao, B Zheng…","A survey on modern deep neural network for traffic prediction: Trends, methods and challenges",441,2020, ieeexplore.ieee.org, … on Knowledge and …,https://ieeexplore.ieee.org/abstract/document/9112608/,74
72,"J Bai, J Zhu, Y Song, L Zhao, Z Hou, R Du…",A3t-gcn: Attention temporal graph convolutional network for traffic forecasting,347,2021, mdpi.com, … International Journal of …,https://www.mdpi.com/2220-9964/10/7/485,69
79,"Z Shao, Z Zhang, F Wang, Y Xu",Pre-training enhanced spatial-temporal graph neural network for multivariate time series forecasting,271,2022, dl.acm.org, Proceedings of the 28th ACM SIGKDD …,https://dl.acm.org/doi/abs/10.1145/3534678.3539396,68
14,"Z Shao, Z Zhang, W Wei, F Wang, Y Xu, X Cao…",Decoupled dynamic spatial-temporal graph neural network for traffic forecasting,272,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2206.09112,68
43,"A Derrow-Pinion, J She, D Wong, O Lange…",Eta prediction with graph neural networks in google maps,326,2021, dl.acm.org, Proceedings of the 30th …,https://dl.acm.org/doi/abs/10.1145/3459637.3481916,65
48,"T Bogaerts, AD Masegosa, JS Angarita-Zapata…",A graph CNN-LSTM neural network for short and long-term traffic forecasting based on trajectory data,364,2020, Elsevier, … Research Part C …,https://www.sciencedirect.com/science/article/pii/S0968090X19309349,61
35,"K Guo, Y Hu, Z Qian, H Liu, K Zhang…",Optimized graph convolution recurrent neural network for traffic prediction,360,2020, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/8959420/,60
3,"KHN Bui, J Cho, H Yi",Spatial-temporal graph neural network for traffic forecasting: An overview and open research issues,233,2022, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-021-02587-w,58
9,"H Peng, H Wang, B Du, MZA Bhuiyan, H Ma, J Liu…",Spatial temporal incidence dynamic graph neural networks for traffic flow forecasting,340,2020, Elsevier, Information …,https://www.sciencedirect.com/science/article/pii/S0020025520300451,57
25,"Z Diao, X Wang, D Zhang, Y Liu, K Xie, S He",Dynamic spatial-temporal graph convolutional neural networks for traffic forecasting,380,2019, aaai.org, Proceedings of the AAAI …,https://aaai.org/ojs/index.php/AAAI/article/view/3877,54
23,"S Rahmani, A Baghbani, N Bouguila…",Graph neural networks for intelligent transportation systems: A survey,156,2023, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10077454/,52
63,"Q Zhang, J Chang, G Meng, S Xiang, C Pan",Spatio-temporal graph structure learning for traffic forecasting,304,2020, aaai.org, Proceedings of the AAAI …,https://aaai.org/ojs/index.php/AAAI/article/view/5470/5326,51
61,"K Guo, Y Hu, Y Sun, S Qian, J Gao, B Yin",Hierarchical graph convolution network for traffic forecasting,245,2021, ojs.aaai.org, Proceedings of the AAAI …,https://ojs.aaai.org/index.php/AAAI/article/view/16088,49
41,"X Zhang, C Huang, Y Xu, L Xia, P Dai, L Bo…",Traffic flow forecasting with spatial-temporal graph diffusion network,234,2021, ojs.aaai.org, Proceedings of the …,https://ojs.aaai.org/index.php/AAAI/article/view/17761,47
15,"C Chen, K Li, SG Teo, X Zou, K Wang…",Gated residual recurrent graph neural networks for traffic prediction,294,2019, ojs.aaai.org, Proceedings of the …,https://ojs.aaai.org/index.php/AAAI/article/view/3821,42
98,"C Zhang, P Patras",Long-term mobile traffic forecasting using deep spatio-temporal neural networks,332,2018, dl.acm.org, Proceedings of the eighteenth ACM international …,https://dl.acm.org/doi/abs/10.1145/3209582.3209606,42
89,"H Peng, B Du, M Liu, M Liu, S Ji, S Wang, X Zhang…",Dynamic graph convolutional network for long-term traffic flow prediction with reinforcement learning,207,2021, Elsevier, Information …,https://www.sciencedirect.com/science/article/pii/S0020025521006976,41
24,"J Chen, L Zheng, Y Hu, W Wang, H Zhang, X Hu",Traffic flow matrix-based graph neural network with attention mechanism for traffic flow prediction,79,2024, Elsevier, Information Fusion,https://www.sciencedirect.com/science/article/pii/S1566253523004621,40
71,"J Zhu, X Han, H Deng, C Tao, L Zhao…",KST-GCN: A knowledge-driven spatial-temporal graph convolutional network for traffic forecasting,155,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9681326/,39
59,"W Weng, J Fan, H Wu, Y Hu, H Tian, F Zhu, J Wu",A decomposition dynamic graph convolutional recurrent network for traffic forecasting,110,2023, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320323003710,37
